"sp1" "sp2" "complete" "sympatric" "Genetic.Distance..Nei.s.D." "Premating.Isol." "Postm..Prez..Isolation" "Postzygotic.Isolation..Complete." "Postzygotic.Isolation..Partial." "Prem..Assymetry....0.25.weak..0.25.0.5.moderate..0.5.0.75.strong..0.75..extreme." "Prem...sp.1.fem..X.sp.2.males.." "Prem...sp.1.males.X.sp.2.fem..." "Postm..Prez..Assymetry" "Postm..Prez...sp..1.fem..x.sp.2.males." "Postm..Prez...sp.1.males.X.sp.2.fem..." "Postz..Assymetry" "Postz...sp..1.fem..x.sp.2.males." "Postz...sp.1.males.X.sp.2.fem..." "Postz..hybrid.fitness..cross.1.male..fem..cross2.male..fem.." "Pre.Symp." "Pre.Allop." "absolute.range..sp.1....in.square.km" "absolute.range..sp.2.." "relative.range.size..sp.1." "relative.range.size..sp.2." "natural.hybridization..No...0..Yes...1." "Habitat.and.other.details..sp1.sp2." "References" "mating.test.type" "sp.1.matings" "sp.1.fem..X.sp.2.males" "sp.1.males.X.sp.2.fem." "sp.2.matings" "Notes.about.matings"
"athabasca" "tolteca" NA "0" "1.25" "0.61519680109704966" NA NA "1" "0.34366383349855634" "0.78702871784632789" "0.44336488434777155" NA NA NA NA "1" NA "sterile, sterile/none" NA NA "6719714" "1626514" "0.805119869718393" "0.194880130281607" "0" "northern temperate forests/Central and South America (arid environments)" "Miller 1950; Miller 1958; Ensign 1960; Miller and Kleager 1971; Lakovaara et al. 1976; Lakovaara and Saura 1982" NA "0.9" "0.19753086419753085" "0.51627906976744187" "0.95499999999999996" NA
"azteca" "narragansett" NA "0" "0.97" "0.99068742273407506" NA NA NA NA "0.99024009369510058" "0.99113475177304966" NA NA NA NA NA NA "none/none" NA NA "1954080" "3e+06" "0.394438523398895" "0.605561476601105" "0" NA "Miller 1950; Miller 1958; Ensign 1960; Miller and Kleager 1971; Lakovaara et al. 1976; Lakovaara and Saura 1982" NA "0.96" NA NA "0.92" NA
"azteca" "tolteca" "1" "1" "1.1000000000000001" "0.56320735361353735" NA "0.25" "0.25" "0.23787181791766343" "0.68214326257236912" "0.44427144465470569" NA NA NA "0.5" "0.5" "0" "sterile, fertile/fertile, fertile" NA NA "1954080" "1626514" "0.545741851770963" "0.454258148229037" "1" "higher elevation/lower elevation" "Miller 1950; Miller 1958; Ensign 1960; Miller and Kleager 1971; Lakovaara et al. 1976; Lakovaara and Saura 1982" NA "0.96" "0.30434782608695654" "0.5321100917431193" "0.95499999999999996" NA
"narragansett" "tolteca" NA "0" "0.97" "0.94558265582655832" NA NA NA NA "0.98222222222222222" "0.9089430894308943" NA NA NA NA NA NA "none/none" NA NA "3e+06" "1626514" "0.648436382122695" "0.351563617877305" "0" "rare species/Central and South America (arid)" "Miller 1950; Miller 1958; Ensign 1960; Miller and Kleager 1971; Lakovaara et al. 1976; Lakovaara and Saura 1982" NA "0.92" NA NA "0.95499999999999996" NA
"athabasca WN" "athabasca EA" "1" "1" "0.12" "0.94207743102172781" NA "0" "0" NA "0.89215551963175055" "0.99199934241170507" NA NA NA "0" "0" "0" "fertile" "0.92764000000000002" "0.944444444444444" "4500000" "2e+06" "0.692307692307692" "0.307692307692308" "0" NA "Miller 1958, Yoon 1991" NA "0.8599" NA NA "0.96494999999999997" NA
"athabasca WN" "athabasca EB" "1" "0" "0.14000000000000001" "0.34577624937600537" NA "0" "0" "0.53192079427588879" NA "0.61173664651394977" NA NA NA "0" "0" "0" "fertile" NA "0.0837202586362459" "4500000" "108523" "0.976451674430181" "0.0235483255698192" "0" NA "Miller 1958, Yoon 1991" NA "0.8599" "0.82950000000000002" "0.35" "0.94300000000000006" NA
"athabasca EA" "athabasca EB" "1" "1" NA "0.91542755313294377" NA "0" "0" NA "0.88929479284048329" "0.94156031342540425" NA NA NA "0" "0" "0" "fertile" "0.94926424999999992" "0.778" "2e+06" "108523" "0.948531270467526" "0.0514687295324737" "1" NA "Miller 1958, Yoon 1991" NA "0.96494999999999997" "0.10561000000000001" NA "0.94300000000000006" NA
"loweii" "pseudoobscura" NA "1" "1.05" "0.98" NA NA "1" NA NA NA NA NA NA NA "1" NA "sterile, sterile/none" NA NA "40727" "4869262" "0.0082947232672008" "0.991705276732799" "1" "higher elevations moist fir forest + prefers mushroom bait / lower elevation generalist forest habitat" "Heed et al. 1968" NA NA NA NA NA NA
"miranda" "persimilis" "1" "1" "0.56000000000000005" "1" NA "1" "1" "0" "1" "1" NA NA NA "0" "1" "1" "sterile, sterile/inviable, sterile " NA NA "10440" "624127" "0.0164521634437341" "0.983547836556266" "0" "moist and cooler+highest elevation/slightly less cooler habitats + slightly lower elevation" "Dobzhansky et al. 1968" NA "0.521505376344086" "0" "0" "0.478494623655914" NA
"miranda" "pseudoobscura" "1" "1" "0.56000000000000005" "0.99537037037037035" NA "1" "1" NA "1" "0.9907407407407407" NA NA NA "0" "1" "1" "sterile, sterile/inviable, sterile " NA NA "10440" "4869262" "0.00213947491055806" "0.997860525089442" "0" "moist and cooler+highest elevation/dry and warm habitats +lower elevation" "Dobzhansky et al. 1968" NA "0.4838709677419355" "0" NA "0.51152073732718895" NA
